"timestamp","hypothesis","files_changed","train_score","holdout_score","negative_score","minimality_score","final_score","holdout_bad_equilibrium_error","holdout_missing_good_equilibrium_error","negative_false_success_rate","avg_complexity_ratio","accepted","reason"
"2026-05-23T13:50:45.3147419+01:00","Increase the default effective training sample count to improve heldout generalization.","System.Object[]","0.0","128.515625","0.0","5.435181","133.950806","0.451823","0.38151","0.0","1.082661","False","Rejected: no score change because configs/train.yaml already sets effective_num_scrs, so the default was not used."
"2026-05-23T13:55:34.6083739+01:00","Force training to use at least 8192 generated SCRs to trade memorization for better heldout implementation generalization.","System.Object[]","4.895833","123.177083","0.0","5.755914","133.82883","0.441406","0.348958","0.0","1.129308","True","Accepted: FINAL_SCORE decreased from 133.950806 to 133.828830; heldout bad and missing-good errors both decreased and negative false success stayed zero."
"2026-05-23T14:01:58.5321139+01:00","Train the 8192-sample learner longer to reduce underfitting and improve the scalar implementation/minimality objective.","System.Object[]","2.109375","124.348958","0.0","5.197219","131.655552","0.445312","0.352865","0.0","1.045902","True","Accepted under the latest scalar rule: FINAL_SCORE decreased from 133.828830 to 131.655552 and negative false success stayed zero, although heldout bad/missing errors worsened slightly."
"2026-05-23T14:09:55.8888155+01:00","Increase hidden width to 512 to improve capacity on the larger 8192-sample training distribution.","System.Object[]","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","False","Rejected as crash: bash scripts/eval_once.sh failed after training with WSL accept4 failed 110 before verification/aggregate metrics were produced."
"2026-05-23T14:24:51.0607350+01:00","Project decoded outcomes onto the observable SCR target union to suppress off-target bad equilibria without using latent metadata.","System.Object[]","4.661458","114.84375","0.0","4.724558","124.229766","0.427083","0.294271","0.0","0.975745","True","Accepted: FINAL_SCORE decreased from 131.655552 to 124.229766; heldout bad and missing-good errors improved and negative false success stayed zero."
"2026-05-23T14:45:06.7601786+01:00","Train table loss only on valid teacher profiles whose outcomes lie in the observable SCR target union, removing off-equilibrium label noise that the decoder later masks away.","System.Object[]","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","False","Rejected as crash: bash scripts/eval_once.sh failed twice after training with WSL accept4 failed 110 before verification/aggregate metrics were produced."
"2026-05-23T15:20:34.0173463+01:00","Merge duplicate decoded messages that induce identical outcome slices, preserving behavior while reducing redundant message labels.","System.Object[]","4.661458","114.84375","0.0","4.724558","124.229766","0.427083","0.294271","0.0","0.975745","False","Rejected: FINAL_SCORE did not decrease from the current best 124.229766; heldout and negative metrics were unchanged."
"2026-05-23T15:26:33.2256038+01:00","Add dropout to the MLP trunk to reduce overfitting and improve heldout mechanism synthesis.","System.Object[]","6.914062","111.067708","0.0","4.919213","122.900984","0.411458","0.28776","0.0","1.005093","True","Accepted: FINAL_SCORE decreased from 124.229766 to 122.900984; heldout bad and missing-good errors improved and negative false success stayed zero."
"2026-05-23T15:43:16.5951949+01:00","Increase trunk dropout from 0.10 to 0.20 to further regularize heldout mechanism synthesis.","System.Object[]","8.841146","113.541667","0.0","4.706798","127.08961","0.423177","0.289062","0.0","0.970943","False","Rejected: FINAL_SCORE worsened from 122.900984 to 127.089610. Bash wrapper failed after training, so metrics were obtained by running fixed verify and aggregate stages directly against the produced checkpoint."
"2026-05-23T15:49:21.3996817+01:00","Add 0.05 label smoothing to the table cross-entropy to reduce overconfident off-policy table predictions.","System.Object[]","6.888021","111.71875","0.0","4.851138","123.457909","0.408854","0.299479","0.0","0.995436","False","Rejected: FINAL_SCORE worsened from 122.900984 to 123.457909; bad-equilibrium error improved slightly but missing-good error worsened."
"2026-05-23T15:52:21.8228904+01:00","Use 4096 effective training SCRs with dropout as a middle ground between memorization and underfitting.","System.Object[]","3.945312","114.713542","0.0","4.46925","123.128104","0.43099","0.285156","0.0","0.940725","False","Rejected: FINAL_SCORE worsened from 122.900984 to 123.128104; lower complexity did not offset worse heldout bad-equilibrium error."
"2026-05-23T16:12:58.9918674+01:00","Tune accepted dropout downward from 0.10 to 0.075 to recover fit while retaining regularization.","System.Object[]","7.252604","111.848958","0.0","4.777596","123.879158","0.41276","0.292969","0.0","0.983436","False","Rejected: FINAL_SCORE worsened from 122.900984 to 123.879158. Bash wrapper failed after training, so metrics were obtained by direct fixed verify/aggregate stages."
"2026-05-23T16:18:48.0128140+01:00","Floor decoded message sizes at two per agent because positive latent mechanisms never use one-message agents.","System.Object[]","6.914062","111.067708","0.0","4.919213","122.900984","0.411458","0.28776","0.0","1.005093","False","Rejected: FINAL_SCORE did not decrease from the current best; metrics were unchanged, indicating the accepted model already avoided one-message agents on this eval."
"2026-05-23T16:58:15.7674066+01:00","Remove forced 120-epoch floor so the larger learned synthesizer run uses the configured 80 epochs instead of overtraining.","System.Object[]","8.398438","108.463542","0",,"121.651714","0.39974","0.285156","0",,"True","FINAL_SCORE improved from 122.900984 to 121.651714 and negative_false_success_rate remained 0. eval_once.sh failed after training due WSL timeout/vsock issue; fixed verify and aggregate commands completed."
"2026-05-23T17:03:22.7494113+01:00","Train with one random alternative-label permutation per SCR to improve label equivariance and heldout generalization.","System.Object[]","9.739583","108.59375","0","4.381158","122.714491","0.404948","0.276042","0","0.92269","False","Rejected: FINAL_SCORE worsened from 121.651714 to 122.714491 despite negative_false_success_rate remaining 0."
"2026-05-23T17:08:06.6810142+01:00","Add a low-weight differentiable pure-Nash surrogate that penalizes stable non-target profiles and rewards at least one stable target profile per state.","System.Object[]","7.695312","104.427083","0","4.669125","116.791521","0.377604","0.289062","0","0.969242","True","Accepted: FINAL_SCORE improved from 121.651714 to 116.791521 and negative_false_success_rate remained 0."
"2026-05-23T17:11:34.2131776+01:00","Increase equilibrium surrogate weight from 0.10 to 0.20 to push harder on exact verifier-style constraints.","System.Object[]","7.291667","105.598958","0","4.903454","117.794079","0.394531","0.266927","0","0.998816","False","Rejected: FINAL_SCORE worsened from 116.791521 to 117.794079."
"2026-05-23T17:15:04.9621304+01:00","Reduce equilibrium surrogate weight from 0.10 to 0.05 to preserve table imitation while still discouraging bad equilibria.","System.Object[]","7.747396","103.385417","0","4.761741","115.894553","0.382812","0.268229","0","0.97839","True","Accepted: FINAL_SCORE improved from 116.791521 to 115.894553 and negative_false_success_rate remained 0."
"2026-05-23T17:19:03.3020710+01:00","Lower equilibrium surrogate weight from 0.05 to 0.025 to test whether a very light verifier regularizer generalizes better.","System.Object[]","7.708333","107.421875","0","4.665467","119.795675","0.391927","0.290365","0","0.965385","False","Rejected: FINAL_SCORE worsened from 115.894553 to 119.795675."
